Provinsi;Kabupaten;Indeks Pembangunan Literasi Masyarakat;Rasio Ketercukupan Tenaga Perpustakaan;Tingkat Kunjungan Masyarakat per hari;Perpustakaan yang dibina sesuai SNP;Keterlibatan Masyarakat dalam Kegiatan Sosialisasi Perpustakaan;Jumlah Anggota Perpustakaan;Pemerataan Layanan Perpustakaan;Ketercukupan Koleksi Perpustakaan
Aceh;Simeulue;55.22;0.3162;0.0401;0.9518;1;1;0.2976;0.2595
Aceh;Aceh Singkil;66.77;1;0.0791;0.8167;1;1;0.406;0.3721
Aceh;Aceh Selatan;50.96;0.2738;0.3094;0.406;1;1;0.3124;0.2654
Aceh;Aceh Tenggara;62.67;1;0.0129;1;1;1;0.144;0.2303
Aceh;Aceh Timur;45.29;0.0173;0.0216;0.927;1;1;0.1626;0.0416
Aceh;Aceh Tengah;56.02;1;0.0552;0.3371;1;1;0.2494;0.2798
Aceh;Aceh Barat;62.97;0.5299;0.2588;0.9358;1;1;0.2717;0.4117
Aceh;Aceh Besar;71.2;1;0.1487;1;1;1;0.2036;0.6316
Aceh;Pidie;52.02;0.2081;0.0121;1;1;1;0.308;0.113
Aceh;Bireuen;56.13;0.5632;0.0291;1;1;1;0.2061;0.1305
Aceh;Aceh Utara;61.63;1;0.0213;1;1;1;0.1723;0.1202
Aceh;Aceh Barat Daya;72.17;1;0.0564;1;1;1;0.3654;0.6301
Aceh;Gayo Lues;67.52;1;0.1881;0.6726;1;1;0.465;0.4003
Aceh;Aceh Tamiang;58.84;1;0.0516;0.4342;1;1;0.4138;0.2192
Aceh;Nagan Raya;52.28;0.0721;0.013;1;1;1;0.4008;0.1739
Aceh;Aceh Jaya;70.22;1;0.202;1;1;1;0.2516;0.4618
Aceh;Bener Meriah;47.07;0.0593;0.0317;0.5447;1;1;0.351;0.3083
Aceh;Pidie Jaya;64.08;1;0.1407;0.2791;1;1;0.3441;0.7215
Aceh;Kota Banda Aceh;69.96;1;0.0355;1;1;1;0.6842;0.1775
Aceh;Kota Sabang;74.66;1;0.5358;1;1;1;0.3131;0.3776
Aceh;Kota Langsa;61.79;0.2985;0.0797;1;1;1;0.5967;0.3502
Aceh;Kota Lhokseumawe;68.25;1;0.0353;1;1;1;0.554;0.188
Aceh;Kota Subulussalam;67.26;1;0.0383;1;1;1;0.3333;0.3368
Sumatera Utara;Nias;47.89;0.067;0.074;0.8644;1;1;0.2081;0.1391
Sumatera Utara;Mandailing Natal;41.87;0.0464;0.0673;0.5826;1;1;0.2124;0.0224
Sumatera Utara;Tapanuli Selatan;69.36;1;0.1695;1;0.5221;1;0.4214;0.7424
Sumatera Utara;Tapanuli Tengah;40.53;0;0.0296;0.5462;1;1;0.1771;0.0841
Sumatera Utara;Tapanuli Utara;52.8;0.0707;0.0649;1;1;1;0.1355;0.4253
Sumatera Utara;Toba Samosir;61.36;0.33;0.0655;1;1;1;0.7748;0.1247
Sumatera Utara;Labuhan Batu;51.09;0.1378;0.0427;1;1;1;0.2397;0.1561
Sumatera Utara;Asahan;51.69;0.092;0.0444;1;1;1;0.233;0.2489
Sumatera Utara;Simalungun;51.52;0.0049;0.0359;1;1;1;0.5236;0.0421
Sumatera Utara;Dairi;48.29;0.0238;0.0388;1;1;1;0.2721;0.0458
Sumatera Utara;Karo;53.55;0.3016;0.0287;1;1;1;0.3181;0.1003
Sumatera Utara;Deli Serdang;50.57;0.1151;0.0516;1;1;1;0.1593;0.2137
Sumatera Utara;Langkat;48.86;0.0337;0.063;1;1;1;0.1616;0.1618
Sumatera Utara;Nias Selatan;43.47;0.0268;0.0321;0.7824;1;1;0.1212;0.0803
Sumatera Utara;Humbang Hasundutan;48.16;0.0247;0.1211;1;1;1;0.1565;0.0691
Sumatera Utara;Pakpak Bharat;58.36;0;0.2646;0.7808;1;1;0.7566;0.283
Sumatera Utara;Samosir;62.94;0.0718;0.0495;1;1;1;0.2843;1
Sumatera Utara;Serdang Bedagai;41.54;0.0299;0.0499;0.1207;1;1;0.2769;0.4302
Sumatera Utara;Batu Bara;53.95;0.036;0.0143;1;1;1;0.3775;0.3488
Sumatera Utara;Padang Lawas Utara;46.62;0.0187;0.0307;1;1;1;0.1212;0.0925
Sumatera Utara;Padang Lawas;46.79;0.0561;0.0268;1;1;1;0.1212;0.0714
Sumatera Utara;Labuhan Batu Selatan;52.29;0;0.0347;0.6351;1;1;0.8809;0.1094
Sumatera Utara;Labuhan Batu Utara;60.13;0;0.0463;1;0.8226;1;0.8061;0.5339
Sumatera Utara;Nias Utara;48.61;0.1492;0.0564;0.7444;1;1;0.3073;0.1456
Sumatera Utara;Nias Barat;61.17;0.4926;0.1166;1;1;1;0.2762;0.3962
Sumatera Utara;Kota Sibolga;64.62;0.1383;0.2861;0.0987;1;1;1;1
Sumatera Utara;Kota Tanjung Balai;57.08;0.0695;0.0715;1;1;1;0.7373;0.1176
Sumatera Utara;Kota Pematang Siantar;60.52;0.7298;0.1045;0.6995;1;1;0.4676;0.2353
